match_id,sample_index,view_a_y,view_a_x,view_b_y,view_b_x,x_mm,y_mm,z_mm,ray_residual_mm
proximal_main_trunk,0,137.0,179.0,154.0,182.0,-11.650251150826453,-21.310652418207667,2.9679679127395104,3.278794367197923
proximal_main_trunk,1,135.1779604367474,180.8220395632526,155.44595503010507,183.0,-11.520279681365558,-21.45588310154953,2.780821093190127,2.700229384645174
proximal_main_trunk,2,135.0,183.32507899831813,156.9235688705965,183.9235688705965,-11.242003626515402,-21.287010371967682,2.819665870188686,2.2605959535235076
proximal_main_trunk,3,135.0,185.9018320598503,158.53179991530152,184.53179991530152,-10.957701848078521,-21.053930716248487,2.9315345743087278,1.8065744633427034
proximal_main_trunk,4,136.0,188.06437155900937,159.84713774119305,185.84713774119305,-10.667462083327536,-20.78145169984809,2.9473876647980717,1.5920877185021862
proximal_main_trunk,5,136.0,190.64112462054152,161.45536878589803,186.45536878589803,-10.38337711014361,-20.54907585319289,3.057631609923135,1.1375135240182743
proximal_main_trunk,6,136.1540627864635,193.1540627864635,163.06359983060304,187.06359983060304,-10.102003296431253,-20.300117262932147,3.1698311363977325,0.7091990185076718
proximal_main_trunk,7,137.0,195.38041718123276,164.5358987731085,188.0,-9.821520761367825,-20.007434141345,3.241981553090426,0.43133782856964414
proximal_main_trunk,8,137.0,197.9571702427649,165.98716870119955,188.98716870119955,-9.52563325179003,-19.814081309383198,3.2886437384718477,0.012082808323606233
proximal_main_trunk,9,138.08464757028855,200.08464757028855,167.0,190.4278088333186,-9.222674652730369,-19.552530898100486,3.3028314209293512,0.14288385048487803
proximal_main_trunk,10,139.1995803523546,202.1995803523546,167.20363079060954,192.20363079060954,-8.882075382685233,-19.33990245885566,3.315442616360002,0.16999399683236652
proximal_main_trunk,11,141.02161991560718,204.02161991560718,168.0,193.73393245590182,-8.5806935552395,-19.010152213754523,3.3434240395836525,0.1649311159154925
proximal_main_trunk,12,142.84365947885976,205.84365947885976,168.4200928800195,195.4200928800195,-8.26148147969682,-18.70468598007902,3.3702872232010748,0.10277073399824965
proximal_main_trunk,13,144.66569904211235,207.66569904211235,169.0283239247245,197.0283239247245,-7.951000261215661,-18.387016551427763,3.3973606235069553,0.06915707731182406
proximal_main_trunk,14,146.48773860536494,209.48773860536494,170.0,198.48601110859008,-7.657509052156395,-18.045746432733566,3.425084151104329,0.09077831297997681
proximal_main_trunk,15,148.30977816861753,211.30977816861753,170.95189279532102,199.95189279532102,-7.362974190526388,-17.705683668138718,3.452533609955509,0.10944902865153087
proximal_main_trunk,16,150.13181773187011,213.13181773187011,171.560123840026,201.560123840026,-7.052131234152057,-17.387850760465696,3.478927428513117,0.07588786346327998
proximal_main_trunk,17,151.9538572951227,214.9538572951227,172.87546166591756,202.87546166591756,-6.774500975933621,-17.02405270057062,3.5068000583685546,0.14996576564181155
proximal_main_trunk,18,153.77589685837532,216.77589685837532,174.0,204.2698312290103,-6.4877763717771515,-16.67255448321832,3.5339778616769024,0.19509806400103127
proximal_main_trunk,19,155.5979364216279,218.5979364216279,174.79903053651407,205.79903053651407,-6.185582556271289,-16.342126347283127,3.5601578492345425,0.19070753906968127
proximal_main_trunk,20,157.4199759848805,220.4199759848805,175.40726158121905,207.40726158121905,-5.874263986033248,-16.024051064498053,3.5856554018800466,0.1572543499134869
proximal_main_trunk,21,159.53490876694653,221.53490876694653,176.7225994071106,208.7225994071106,-5.6787488896901905,-15.682075124247902,3.539212949516923,0.12110621283430878
proximal_main_trunk,22,161.35694833019915,223.35694833019915,177.3308304518156,210.3308304518156,-5.367247291183792,-15.363924770654904,3.5642377795539915,0.08768829794718729
proximal_main_trunk,23,163.25312710642,225.0,178.64616827770712,211.64616827770712,-5.109943886551715,-15.005256018424518,3.572172317047574,0.13424504718088862
proximal_main_trunk,24,165.29392067551777,226.29392067551777,179.96150610359865,212.96150610359865,-4.893373666634537,-14.657508232554619,3.5436264777026736,0.12627715753880622
proximal_main_trunk,25,167.11596023877036,228.11596023877036,180.56973714830366,214.56973714830366,-4.581575062888883,-14.3392038813912,3.56796221660332,0.09295012119475822
proximal_main_trunk,26,169.2308930208364,229.2308930208364,181.8850749741952,215.8850749741952,-4.385830458968205,-13.99702290026255,3.520365012875999,0.057086908577972474
proximal_main_trunk,27,171.05293258408898,231.05293258408898,183.0,217.28342649995582,-4.097817667292312,-13.645508418241604,3.545489214133511,0.10131200834111305
proximal_main_trunk,28,172.8749721473416,232.8749721473416,183.80864384479173,218.80864384479173,-3.7952066624840226,-13.31395080311971,3.56962602062319,0.09873698146428453
proximal_main_trunk,29,174.98990492940763,233.98990492940763,185.0,220.17533656016593,-3.593453617061927,-12.97975344526273,3.521029566118756,0.04407166389046607
proximal_main_trunk,30,176.81194449266022,235.81194449266022,185.73221271538824,221.73221271538824,-3.2870491228054224,-12.653108938544278,3.5445093287692373,0.029857214087658283
proximal_main_trunk,31,178.92687727472625,236.92687727472625,187.0,223.06724662037607,-3.088828982270713,-12.313850568951779,3.4956315965853264,0.013007398377324541
proximal_main_trunk,32,181.04181005679231,238.04181005679231,187.65578158598478,224.65578158598478,-2.8616134723523556,-12.014770210996062,3.444909141308841,0.14964736509740215
proximal_main_trunk,33,183.15674283885835,239.15674283885835,188.97111941187632,225.97111941187632,-2.665592909757167,-11.672378614502577,3.395670308362554,0.18513308204958745
proximal_main_trunk,34,184.97878240211094,240.97878240211094,189.5793504565813,227.5793504565813,-2.3530182242978173,-11.35376288926662,3.417862091924462,0.2182781294411709
proximal_main_trunk,35,187.093715184177,242.093715184177,190.1875815012863,229.1875815012863,-2.1234468629214236,-11.057912604791397,3.3661795159650865,0.36221502816279144
proximal_main_trunk,36,188.9157547474296,243.9157547474296,191.50291932717784,230.50291932717784,-1.8441646328502972,-10.692631940632822,3.389865211620787,0.286767646082097
proximal_main_trunk,37,191.03068752949562,245.03068752949562,192.11115037188284,232.11115037188284,-1.6145022388324,-10.396807391089226,3.337669704607322,0.4306988706248962
proximal_main_trunk,38,192.8527270927482,246.8527270927482,193.42648819777438,233.42648819777438,-1.335054576812267,-10.03138012629313,3.360917138633937,0.3551153646676764
proximal_main_trunk,39,194.95426415635347,248.0,194.03471924247935,235.03471924247935,-1.101492855233564,-9.73453112520474,3.311579996033032,0.4939710511736949
proximal_main_trunk,40,196.78969943806686,249.78969943806686,195.0,236.4950554536947,-0.8091066683010988,-9.393178851288013,3.3299964395771156,0.47718794269264664
proximal_main_trunk,41,198.9046322201329,250.9046322201329,195.9582881130759,237.9582881130759,-0.5958484803680671,-9.074241595956863,3.2777933633086604,0.5672395101236909
proximal_main_trunk,42,200.72667178338548,252.72667178338548,196.56651915778087,239.56651915778087,-0.28257088682265363,-8.755417091582473,3.2980469755719923,0.6002912224193083
proximal_main_trunk,43,202.84160456545152,253.84160456545152,197.8818569836724,240.8818569836724,-0.0861431273215818,-8.412786561747623,3.246424135764329,0.6352952062476948
proximal_main_trunk,44,204.66364412870414,255.66364412870414,198.0,242.69308913648803,0.25051977084369703,-8.126481612829252,3.2646703524785323,0.7438575023937296
proximal_main_trunk,45,206.77857691077017,256.77857691077014,199.0,244.13904416659307,0.46196157133279686,-7.8048155261975865,3.2115540663369018,0.8274133377692825
proximal_main_trunk,46,208.8493999633477,258.0,199.7065501177874,245.7065501177874,0.699906825669538,-7.499211356426343,3.1683486233307576,0.9395033070369647
proximal_main_trunk,47,210.7155492560888,259.7155492560888,200.31478116249238,247.31478116249238,1.0009993074311125,-7.183849462243813,3.1762195535760327,0.9892561557120118
proximal_main_trunk,48,212.83048203815486,260.83048203815486,201.0,248.89112281928135,1.2274331331922104,-6.88327385739521,3.1212366940255833,1.12135477119893
proximal_main_trunk,49,214.9454148202209,261.9454148202209,202.0,250.33707784938642,1.4389891486614488,-6.5617096358889455,3.0670443587405885,1.204838744034992
proximal_main_trunk,50,217.06034760228692,263.0603476022869,202.13947429660735,252.13947429660735,1.6912499135291053,-6.2978418376183924,3.009493391373269,1.421247389280039
proximal_main_trunk,51,218.8823871655395,264.8823871655395,203.0,253.64320147196963,1.9933003450928606,-5.962053319947557,3.028393067105867,1.415348530132377
proximal_main_trunk,52,220.99731994760555,265.99731994760555,203.35593638601733,255.35593638601733,2.235382772411608,-5.6838560608278215,2.970973147258661,1.5983863988089981
proximal_main_trunk,53,223.11225272967158,267.1122527296716,204.0,256.9493250945528,2.463853127547048,-5.386411118384359,2.914286759552283,1.7368926229929817
proximal_main_trunk,54,225.22718551173762,268.2271855117376,204.57239847542732,258.5723984754273,2.695712963018478,-5.093887895392982,2.856992751020613,1.8864955943052055
proximal_main_trunk,55,227.06961476865996,270.0,205.0,260.25544871713606,3.01264598602317,-4.788925148066568,2.868026064423617,1.9553339515157988
proximal_main_trunk,56,229.1641578570562,271.16415785705624,205.78886056483728,261.7888605648373,3.240206852792435,-4.480242940173639,2.816186327611888,2.063735146264039
proximal_main_trunk,57,231.27909063912224,272.2790906391223,206.3970916095423,263.39709160954226,3.4704421922624675,-4.1855223704336595,2.7581078971985846,2.207833604557202
proximal_main_trunk,58,233.1011302023748,274.1011302023748,207.0,265.0075273698243,3.785181377205654,-3.867073365408544,2.774255381530594,2.241842711519409
proximal_main_trunk,59,235.21606298444084,275.21606298444084,207.0,266.8676959623025,4.044130626438048,-3.613780481144488,2.7129027205451735,2.4802758598803694
proximal_main_trunk,60,237.03810254769343,277.0381025476934,208.0,268.31365099240753,4.340332170337285,-3.2683735503240996,2.7302878550893297,2.4527484780361855
proximal_main_trunk,61,239.15303532975946,278.15303532975946,208.0,270.1738195848857,4.599315981350356,-3.015340942390935,2.668219162156504,2.691297798275953
proximal_main_trunk,62,240.97507489301205,279.97507489301205,208.02403327069413,272.02403327069413,4.941628307718667,-2.7364312202680594,2.6806249821178483,2.815276025918727
proximal_main_trunk,63,242.7971144562646,281.7971144562646,209.0,273.47994320746886,5.239259574455557,-2.392578013005732,2.6972195924384152,2.791479365258503
proximal_main_trunk,64,244.91204723833064,282.9120472383306,209.0,275.34011179994707,5.498300340002737,-2.139964737821458,2.634044192587197,3.0302358735772765
proximal_main_trunk,65,246.73408680158323,284.7340868015832,209.0,277.20028039242516,5.8419841235502386,-1.8629107959918656,2.64540129475418,3.158145136890115
proximal_main_trunk,66,248.5561263648358,286.5561263648358,209.0,279.06044898490336,6.185763376434275,-1.5859424871899819,2.656436402488538,3.286144344585819
proximal_main_trunk,67,250.67105914690183,287.6710591469018,209.65097493184598,280.650974931846,6.414258695392174,-1.2891378305639023,2.5953535802428007,3.4238787511335254
proximal_main_trunk,68,252.49309871015438,289.4930987101544,210.0,282.36657260748655,6.741795436140161,-0.9883135320328336,2.607562701253755,3.4976865029610074
proximal_main_trunk,69,254.31513827340697,291.31513827340694,210.0,284.2267411999647,7.0858101880833875,-0.7115677026322942,2.617658059196202,3.625884181848769
proximal_main_trunk,70,256.19399875706097,293.0,210.0,286.08690979244284,7.413424130873005,-0.43976787700688647,2.6128169905708774,3.7756924098418634
proximal_main_trunk,71,258.25211061872557,294.25211061872557,210.0,287.94707838492104,7.689024595553392,-0.18346818290339684,2.561467169463299,3.9934731735216027
